"UNIPROT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","organ","time_relationship","SYMBOL"
"Q03252",0.0214778394129599,22.6452139148969,6.2842561606242695,1.0134961142970881e-6,0.0012494028277088582,4.64505764382889,"kidney","pseudo-enriched","LMNB2"
"Q15149",0.01666911583595967,23.14281215221625,6.0156861609642744,2.04767984910202e-6,0.0012494028277088582,3.9346228799730767,"kidney","pseudo-enriched","PLEC"
"Q9UKY7",-0.023512254015927398,21.4656019926393,-5.8993034966357065,2.782684617913059e-6,0.0012494028277088582,3.625216847914894,"kidney","decreased","CDV3"
"P02545",0.02095320703656727,23.94389951123231,5.8078286556998,3.543918672834838e-6,0.0012494028277088582,3.3814642237278765,"kidney","pseudo-enriched","LMNA"
"P31939",0.02670612250883705,20.52433624254695,5.807542521555873,3.5466038230628215e-6,0.0012494028277088582,3.380701042967871,"kidney","pseudo-enriched","ATIC"
"Q8WWM7",-0.016823954374529698,21.10490565534245,-5.803465566182291,3.5850870235548297e-6,0.0012494028277088582,3.369826465031233,"kidney","decreased","ATXN2L"
"Q9H6Z4",-0.022499917988600737,22.06893538361117,-5.679475118816511,4.980676060902325e-6,0.0014877990919066803,3.038708490519422,"kidney","decreased","RANBP3"
"Q13586",-0.021108373365439227,22.6085424284414,-5.621829827568612,5.805318272478421e-6,0.0015173650634690472,2.884529102808452,"kidney","decreased","STIM1"
"Q16666",0.015665826316667398,20.272884137416753,5.534484253837543,7.3251300546323875e-6,0.0017018718826929248,2.6506688047202562,"kidney","pseudo-enriched","IFI16"
"P99999",-0.04060425704764741,21.095819243142643,-5.491136886983984,8.222514109570206e-6,0.0017193277003111301,2.534514900225121,"kidney","decreased","CYCS"
"O00273",-0.021650510865515754,20.806954161043432,-5.429576336647236,9.690732170956913e-6,0.001804406439351814,2.3694654755916247,"kidney","decreased","DFFA"
"O00483",-0.020728753592936966,25.07623227076232,-5.404744370467408,1.0355273683511128e-5,0.001804406439351814,2.3028623139480686,"kidney","decreased","NDUFA4"
"P23297",0.03759206262279015,22.332768147802632,5.374010005078231,1.1241672692654404e-5,0.0018081798154107969,2.220409886882644,"kidney","pseudo-enriched","S100A1"
"O95479",0.044942619891137174,25.336018628580945,5.268000752652455,1.4927903703375776e-5,0.0019535887685726934,1.9358955298615328,"kidney","pseudo-enriched","H6PD"
"Q9Y4W6",0.019163362090018444,22.021991912876807,5.261847523112338,1.5175883546683695e-5,0.0019535887685726934,1.9193769669115177,"kidney","pseudo-enriched","AFG3L2"
"P08670",0.023943069208765173,25.77512030837428,5.235153325617783,1.630052895511753e-5,0.0019535887685726934,1.847712112327292,"kidney","pseudo-enriched","VIM"
"P49913",0.025617184826242832,23.197959241249936,5.225135247240858,1.67438918440252e-5,0.0019535887685726934,1.820815829418411,"kidney","pseudo-enriched","CAMP"
"P18124",-0.04335467137812877,21.582819908058127,-5.223506294364729,1.681711995901888e-5,0.0019535887685726934,1.8164424107660668,"kidney","decreased","RPL7"
"Q9Y490",0.01868938771654766,21.89017605882271,5.199910660685021,1.791465042493665e-5,0.001971554423081186,1.7530916276086224,"kidney","pseudo-enriched","TLN1"
"P21333",0.0244909951016457,22.947023059630116,5.152006223837255,2.0369237082828722e-5,0.0021296037370097426,1.6244728976192313,"kidney","pseudo-enriched","FLNA"
"Q9ULE4",0.03212970409422202,23.341132099134214,5.098200793160664,2.3531164984673525e-5,0.0023430317134739208,1.4800182920522698,"kidney","pseudo-enriched","FAM184B"
"P30153",0.018874827412519314,22.357326161836603,5.075520316679618,2.500742985969268e-5,0.0023768425380280636,1.419132845563098,"kidney","pseudo-enriched","PPP2R1A"
"P62987",-0.012515872307211297,28.05953726740328,-5.029217362763089,2.8316009705588585e-5,0.002521839206035868,1.294851433867283,"kidney","decreased","UBA52"
"P04844",0.02658001051769782,19.89169879771936,5.021030885684431,2.8945069796681413e-5,0.002521839206035868,1.2728813425803107,"kidney","pseudo-enriched","RPN2"
"Q13428",-0.016988655029177593,22.142664990398757,-4.984860167158114,3.18964450531988e-5,0.002567002012444792,1.175823857114274,"kidney","decreased","TCOF1"
"Q9UKV3",-0.018521979187274884,20.803241765170426,-4.984600076214415,3.1918724210217405e-5,0.002567002012444792,1.1751260416564229,"kidney","decreased","ACIN1"
"Q9H098",-0.030159740477411844,23.68149933906233,-4.951742811002211,3.486236514886871e-5,0.0026998965009734986,1.0869829228382102,"kidney","decreased","FAM107B"
"Q9UH65",0.015621534211518991,22.59684267707012,4.935668236241715,3.6400005125104046e-5,0.0027183003827354487,1.0438704551843365,"kidney","pseudo-enriched","SWAP70"
"P35998",0.013996157556355162,22.419249285984478,4.9219091748721295,3.776997181187947e-5,0.0027233452089186192,1.0069736018405013,"kidney","pseudo-enriched","PSMC2"
"Q9Y2B0",0.024725090576685208,20.864578563476268,4.887748441936726,4.139859953329639e-5,0.0028854823874707586,0.9153901315780395,"kidney","pseudo-enriched","CNPY2"
"Q6WCQ1",0.017108153084160704,21.620574714623537,4.870999660772908,4.330312290599993e-5,0.002920865483756318,0.870500591969277,"kidney","pseudo-enriched","MPRIP"
"Q14126",0.020106568680175227,20.525178337130548,4.846247873498347,4.627930356477513e-5,0.003024063242310775,0.8041791314204083,"kidney","pseudo-enriched","DSG2"
"P35580",0.015403671328545905,23.33471365985923,4.829921317972483,4.835352852829467e-5,0.003063855398565581,0.7604449425321977,"kidney","pseudo-enriched","MYH10"
"O00193",-0.024288188798637693,20.596628051077445,-4.786134726319023,5.43868477265838e-5,0.0032744389337482746,0.6432055161573036,"kidney","decreased","C11orf58"
"Q7Z444",0.054229495208881956,21.98885910756882,4.7832560996205675,5.480887741807251e-5,0.0032744389337482746,0.6355007856390351,"kidney","pseudo-enriched","ERAS"
"Q15714",-0.01732786357229332,23.02292954821933,-4.764444101634564,5.764857334624812e-5,0.003297742902470098,0.5851591129777507,"kidney","decreased","TSC22D1"
"P36954",0.016910353936002126,21.281637709477607,4.759919723452487,5.835317426656797e-5,0.003297742902470098,0.5730541321106699,"kidney","pseudo-enriched","POLR2I"
"P08758",0.018159557218127936,23.1142102424609,4.691719050184248,7.007795176927445e-5,0.003762578656801211,0.3907073656553628,"kidney","pseudo-enriched","ANXA5"
"Q92597",-0.023550672498585442,22.79825111921482,-4.691191680041997,7.017722028467108e-5,0.003762578656801211,0.38929831174045404,"kidney","decreased","NDRG1"
"Q8NC44",-0.022387319349091,19.492091922216783,-4.6790654149783055,7.24988851771595e-5,0.003789879222636013,0.3569031055771106,"kidney","decreased","RETREG2"
