ID	06h_1	06h_2	06h_3	12h_5	12h_6	12h_7	12h_8	18h_9	18h_11	24h_13	24h_14	48h_15	48h_16	48h_17	72h_19	72h_20	72h_21	72h_22	96h_23	96h_24	96h_25	96h_26	06h_4	18h_10	24h_12	48h_18
A0A075B6K5	22.4769115497097	22.69999610743362	22.56019461384792	22.279383469690565	21.324094874490804	23.926880186006926	22.298282897571365	23.57765425784127	21.662656539091756	24.363013256112076	23.198579591645387	24.184930152809077	23.383938052283757	21.29024117795396	22.802370887801136	24.474266880022373	23.395757723261813	24.777811431256822	22.78594634528646	23.36701982834483	23.793644207639215	24.558023482051773	NA	NA	NA	NA
A0A0B4J1X5	NA	20.56571227778061	20.91603974409265	NA	NA	23.1197150198376	NA	22.177092180620278	22.936169065109404	25.896377556823417	NA	22.4400487814505	NA	NA	NA	24.29412080308839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2D5	23.10282686580416	22.122456758820206	25.625225831349866	24.64943136709811	22.592783275404706	23.30994142779757	24.121807681489283	23.795891882441534	22.18791546120412	23.898921703664122	21.394537259348105	23.794489459854887	21.81663555279737	23.58126854610611	23.590731572946538	22.258220859638094	23.365734966052045	23.768176571472747	23.390818983452192	NA	20.505244267453595	19.32923868513727	25.162753949597374	22.345803435934894	23.172976685210532	22.12564904077947
A0A0U1RQV5	18.86221368885791	17.862122021037507	18.692514921353407	19.296958066106207	19.469669640886508	19.62274092083972	18.18721457179992	19.912483834910653	19.094075066521476	NA	20.80752824621062	20.456858065782107	NA	20.055123920292548	20.068506564842185	20.46331187916146	20.450682293049958	18.57403920656251	NA	20.73583375295733	NA	21.48077282073706	20.837007035191288	18.633297115271468	NA	NA
A0A0U1RRL7	19.517273184579974	19.780571861692625	20.33304272753243	NA	19.599323673001738	20.079917490882153	19.76106037093156	NA	NA	NA	NA	19.704730443685968	NA	NA	19.720347672696775	NA	NA	NA	NA	NA	NA	NA	19.64858655731259	NA	19.968056477517965	NA
A0A1W2PP80	NA	NA	NA	NA	NA	NA	NA	22.14538810694325	NA	22.802305887071867	NA	NA	23.862343062769757	NA	NA	NA	23.95794048153548	NA	20.764957148664372	NA	NA	23.376967575172046	NA	NA	NA	23.618282786296497
A0AV96	20.735657550977756	19.4314631514376	NA	18.85737730410287	20.29663819933293	NA	20.034405479460467	19.878832163270072	20.029469368913965	NA	20.449831226579324	19.810755684436995	20.479619742279493	20.144883561769564	NA	NA	20.87224572609681	21.284205307769565	19.9330794077947	20.616314751474228	NA	20.121420366242642	20.487148436389088	NA	NA	NA
A0M8Q6	21.337750500937172	NA	17.595408100687436	NA	17.21092941928828	NA	NA	21.083537604135223	19.059078131864936	24.043854110584924	NA	17.61966410610341	18.401136312579542	18.982242217735266	19.394838558179163	18.37898582722922	23.499294141146777	20.863710580799975	20.73822813552387	17.80449249545094	NA	NA	17.664998760458595	19.8810922344929	21.19489561774212	NA
A0MZ66	22.954921235844996	22.758770877941057	22.781801494394735	22.63652393549912	22.167685297565423	21.41210077115339	23.000287143762208	21.234955988284515	22.118901948999188	21.631622811089898	21.869895100781427	21.92192329276062	20.641974644101875	21.75645999221346	20.7300483754556	21.711209374029234	21.229236851627462	22.258211331026367	23.159151988467137	21.166084031814734	20.18152491811885	19.895674942189515	22.454024374401513	23.61056366076987	22.208635616342693	NA
A0PJK1	NA	16.782959221738963	18.392104351082807	NA	18.18436118165348	NA	NA	NA	21.15519907769601	NA	NA	19.842837735007823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.255539785910102	NA
A1L4H1	NA	18.652114642228135	17.188606577642858	18.487152245427644	NA	21.486470244053198	17.98213935678758	NA	19.423742379852847	NA	NA	NA	NA	NA	NA	NA	19.420939071949928	NA	NA	NA	NA	NA	NA	NA	18.206547100286016	NA
A2VDF0	16.644198877679823	19.208762158284742	19.886737778024425	20.774942667500873	20.777503406857345	NA	20.570045295935252	19.260824001817863	21.081556913057113	NA	20.630943908654096	21.37551359064216	NA	20.442529070638116	19.92299974880799	20.083953831120795	NA	18.528562886686313	NA	NA	NA	NA	NA	NA	21.094156204663797	NA
A5YM69	19.894040468610225	NA	19.531430914277998	19.322579979823907	18.660198248679603	18.674918019465498	18.699239339923675	18.592589346774233	19.557002466740933	19.685220792163797	NA	19.29038384442158	NA	18.276509216123358	20.82028588812518	17.322211425750726	18.18587912066185	NA	NA	NA	NA	NA	18.34697984540674	20.168304523560273	19.702298596407143	NA
A6NDB9	20.61999599780425	20.460887270562694	20.854995559072115	20.820224340376505	20.28110236383069	21.92846916008683	21.739410306193086	20.380282811693935	21.115996559753107	19.869674894803246	20.658551597077928	21.450850198437134	21.045154224399067	21.942586159078136	20.709555444593455	20.842161303809693	21.992738762248564	21.98950939555636	21.700057143186818	19.50727338711644	21.12433443808449	21.179108519824656	22.17793888511166	20.022155803012286	21.67694897990851	NA
A6NFY7	NA	NA	NA	20.58112010228244	NA	NA	21.76078367086614	NA	NA	NA	NA	NA	NA	NA	22.539178611962164	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.277985850825992	NA
