ID	06h_1	06h_2	06h_4	06h_3	12h_5	12h_6	12h_7	12h_8	18h_10	18h_11	18h_9	24h_13	24h_14	24h_12	48h_15	48h_16	48h_17	48h_18	72h_20	72h_19	72h_21	72h_22	96h_24	96h_25	96h_23	96h_26
A0A075B6J9	22.013261331200013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.914526458744923	NA	NA	20.300676029280805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.404832039952307	NA	NA	NA	NA	NA	20.761328601138935	NA	NA	NA	NA	NA	NA	NA
A0A0J9YY99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.95993180056573	NA	NA	NA	23.66064956608053	NA	NA	NA	NA	NA	NA	NA
A0M8Q6	18.02549522504117	15.393712441722503	17.570269117099496	NA	NA	NA	NA	NA	20.645276607644814	19.871929659511814	NA	NA	18.94384572108816	NA	NA	23.3070849932407	NA	NA	21.150304469767022	NA	NA	NA	21.240247692006108	21.61473552717193	NA	NA
A0MZ66	NA	22.617587092843106	21.98766974127004	22.862458259394046	22.358579114113088	22.843243096456778	21.91426200548127	22.551413624540256	22.445309995910076	22.375614103488417	21.68326408681314	21.568109859780023	22.006648708070262	21.551709867309075	21.75796778983864	22.06930722214809	22.123005107851743	21.305940517559907	21.9066341368736	22.457430080869898	21.729443801013943	21.873501612942068	21.559865999804234	22.0845091102076	22.08600696182939	21.351242998154603
A1L4H1	NA	22.269889003420584	21.58054651118727	20.936822540154694	21.33617089670209	20.995346029000054	20.856218242461303	20.573048765010782	21.956929593538675	20.8943431968731	21.112150020540582	20.95815794821238	20.86100626829025	22.133462785356368	21.468153197657717	20.75091592146153	20.680645822654192	20.48272332677203	21.06520446472926	21.42930733715481	19.847388569748865	21.32717041527807	NA	20.046788980226268	20.944229880059982	20.749335098417475
A6NDB9	NA	NA	NA	NA	NA	NA	25.537777673733988	NA	NA	NA	NA	NA	NA	NA	21.91043238124985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NIH7	NA	NA	22.171500292052936	22.90332502668368	NA	NA	NA	NA	NA	22.249194335295947	NA	NA	NA	22.087483740721336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NMZ7	22.13257512944888	20.16527304053549	21.983443624997236	22.506576822920476	20.589202037817582	22.17934504972062	22.42264406768468	21.58327720126412	21.037181592050477	21.914451537483348	20.850014435769943	21.622530457926153	22.143943127474035	23.04986539402433	23.564245891981386	22.283357583078875	22.80938956597088	23.045881922054477	22.030405283894645	22.139850775511853	23.81485585132191	22.04631496026573	22.59682943755707	22.295441938266258	22.129739084037094	22.701179106991276
A8MVU1	NA	NA	22.583990165378175	NA	NA	NA	NA	NA	21.040991006424125	23.493237988204825	NA	23.329153699682216	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.578033573807442	NA	NA	NA	NA
B9A064	24.58041800189504	23.458696967692354	22.07655646964219	20.806689380794246	22.036435270207843	19.85836328504696	22.698238570932844	23.05476788798161	22.644338785867937	22.273330965592994	24.01865918515516	25.15924752967544	23.931174151909076	22.517426767737653	24.943053525179284	24.177266262257692	20.72782282624044	22.62521433253562	24.686524669068007	23.043390233886036	22.977186274276704	24.09541172970823	22.70413286580722	24.38933276833368	24.946387678079013	23.73543310924842
E9PAV3	21.9101247696973	24.106686329486333	23.483449733287376	23.76444677429819	22.716012838492464	23.81621770606724	22.309358477669186	22.747708669040005	22.139740032598716	23.168870757608346	22.38328186511514	22.741202511681053	23.893068546163146	22.640976318757442	23.0957928751471	22.611008157326296	22.282708258539934	22.10480666406872	22.120901008993332	22.79079091169112	21.766431996354115	22.14823648111231	23.0815070797791	22.780857437132177	22.65533044101402	22.035257140846902
