ID	06h_1	06h_2	06h_3	06h_4	12h_5	12h_6	12h_7	12h_8	18h_9	18h_11	18h_10	24h_13	24h_14	24h_12	48h_15	48h_16	48h_17	48h_18	72h_19	72h_20	72h_21	72h_22	96h_23	96h_24	96h_25	96h_26
A0A075B6K5	22.72623569892974	23.02818561779043	22.750502864271574	23.15852045830325	22.478091783297653	21.439003765795157	23.96035874493731	22.336953586708127	23.577288428437733	21.70397782607746	22.8870239630329	24.2555685763064	23.173532624679176	22.954869694682717	24.21219699704328	23.10043066688679	21.305106903362617	23.46942305302587	22.9091660983289	24.358377924589394	23.276573753952395	24.57745846935698	22.7151899277046	22.940997986989466	23.121367746490442	24.136016474186
A0A0B4J1X5	22.53212746843665	20.89390178813742	21.106347994516305	22.59176784827673	22.19660211923792	22.367155085464013	23.153193578767983	22.042017280671853	22.176726351216736	22.97749035209511	22.38314513670824	25.78893287701774	23.04883405311167	23.082639316263148	22.467315625684705	22.97344354956514	22.98990199635229	23.327468008283518	22.881983611313828	24.17823184765541	22.771812033990837	22.71663678161706	22.580370245307233	22.982968134674753	23.220901776847732	23.116269582169046
A0A0B4J2D5	23.09554502019452	22.813866972580513	24.934550205145747	24.722026501202464	24.60910781528493	24.466968415492012	23.43714601250955	24.527576533932738	23.52811124483877	22.637415534917515	23.55581499237138	24.296771081502477	22.277307402527033	24.08365737900788	24.7224294821702	22.28230329268156	23.575435070342376	22.44566927520703	23.588814276408755	23.172943042721226	23.24956088030065	23.82176498128665	23.46803892285157	22.326580669428882	20.734894008680868	21.393759953835406
A0A0U1RQV5	19.11153783807795	18.190311531394318	18.882823171777062	21.024990947122443	19.4956663797133	19.58457853219086	19.6562194797701	18.225885260936682	19.91211800550711	19.13539635350718	18.63763756252156	19.777001666580045	20.782481279244408	19.766009365594847	20.484124910016313	20.22604507659553	20.069989645701206	20.168766488396397	20.17530177536995	20.34742292372848	20.33149832374054	18.373686244662668	19.305206868899067	20.30981191160197	20.234324438684126	21.058765812871286
A0A0U1RRL7	20.705621003222525	20.80200568555735	20.785999506231377	21.12342623032194	20.84520763440946	20.874961871491813	21.36979943602028	20.99358856899448	20.935730893336377	20.97270917817676	20.920750282276604	20.9003725309868	20.999541467127678	21.580681976369462	20.476894317675338	20.993782292055826	20.92923988000726	20.975692834722985	20.429513301510315	20.9190719963014	21.019708813074978	20.986252087057593	20.946917446104234	21.047875627939597	21.036005551139915	20.995861629923457
A0A1W2PP80	22.463054178357062	22.262824059923492	22.326685654754446	22.607193144647553	22.552919951463668	22.342106872315302	22.71731203567198	22.32563486911369	22.14502227753971	22.398511452956313	22.61703550469729	22.694861207266186	22.69971102225957	22.545602667851245	22.557237796726596	23.57883567737279	22.65424186713244	22.95224996364702	22.514384713808944	22.69233375478458	23.838756512226063	22.364132453091056	20.69420073108251	22.921016762085525	22.830237236238922	22.954960567306273
A0AV96	20.984981700197793	19.759652661794412	20.115157094886182	20.675132348320243	19.056085617709957	20.411547090637285	20.115445035153524	20.07307616859723	19.878466333866534	20.070790655899668	20.239669520994127	20.01087721880322	20.424784259613112	20.096576574462716	19.838022528671196	20.196112356882526	20.159749287178222	20.070364626305363	20.003419377067104	20.11023648911816	20.753061756787393	21.083852345869722	19.86232299021284	20.190292910118863	20.081594103046793	19.69941335837687
A0M8Q6	21.587074650157213	20.26940156394126	17.78571635111109	17.85298267238975	19.15238117193096	17.325838310592637	19.807526502228193	19.356742521999408	21.08317177473168	19.10039941885064	19.885432681742998	23.936409430779243	20.012476908880764	21.343384856517154	17.646930950337612	18.117628927182576	18.997107943143924	19.20899355439666	19.501633768706927	18.26309687179624	23.38011017183736	20.663357618900132	20.667471717942007	17.37847065409558	19.69950762354584	20.25339666623502
A0MZ66	23.80833000607106	23.645026726216962	23.615578757160208	22.96740237743853	23.642799344440714	23.219618710179333	22.4585837040094	23.360011351633926	22.282128871663943	23.282247539299245	23.993858436777238	22.84840699875682	23.653587110104077	22.958979899718273	23.031324091512538	22.623542200598934	23.175006001483492	22.359924994058648	23.029499059493187	22.583346674915965	23.844710821873818	23.67689188640061	24.12215100083374	22.177341044196126	20.987977180851104	21.606467713068827
A0PJK1	19.036221054297034	17.111148732095774	18.582412601506462	19.309166448588496	18.873879745138915	18.29927007295783	19.7157402556506	18.917796792900393	19.898317939303965	21.196520364681714	19.262311796505237	19.722478928694148	19.639347541328018	20.404029024685137	19.870104579242025	19.879984819460393	19.646497978573898	19.763125626888986	19.665166549650394	19.721339836154886	19.596696850026806	19.57451016797026	19.54349492800525	19.83202167042482	19.654990349996925	19.87319518973281
A1L4H1	19.063817759198187	18.980304152584946	17.378914828066513	18.943194065098066	18.685860559034733	18.869812199690035	21.519948802983578	18.020810045924343	19.605617816442965	19.465063666838553	19.075414611145483	19.26501412188467	19.497170661581055	18.35503633906105	19.24272150733768	19.53010276236151	19.530056323214534	19.314066571800264	19.117291601768493	19.502934734719105	19.30175510264051	19.44789966316175	19.103143665478743	19.51024970975837	19.590687826434625	19.61831962626006
A2VDF0	16.893523026899864	19.536951668641553	20.07704602844808	20.24954603826076	20.973650981107966	20.8924122981617	20.109583119098712	20.608715985072013	19.260458172414324	21.122878200042816	20.160905436087297	20.33509823382968	20.605896941687885	21.242645443438832	21.402780434876362	19.63290871183641	20.457394796046774	20.040513735699435	20.029794959335753	19.968064875687816	19.35809863793982	18.32820992478647	19.182751301883414	19.54567481436489	19.553855991696473	19.43172668857053
A5YM69	21.49134841166442	20.91928570417758	21.043732384805416	20.753547248829793	20.81857322675749	21.15621314424721	20.83354573605228	21.056111118594785	20.649393905311214	20.887590190263378	21.543456695685485	20.82052954768312	20.390217567463672	20.726985965115368	20.574016032378232	20.289966895520195	20.640617390306968	20.40505455475855	21.03031758025829	18.815135794712923	20.115387861883477	20.60439612492135	20.690037938759186	20.393990663576805	20.298986326796225	20.275282595752756
A6NDB9	21.66145223523334	21.665002989156132	21.584699613782917	22.88487621395904	21.78941506939749	22.598926986968166	22.236455163224278	22.727304410098206	21.502177690210736	21.968375163642545	21.750206365236444	20.66060207901773	21.927367478389197	22.2475052494096	22.270249130880394	21.813800629790318	22.48168308372666	21.89632459984859	21.516615658422555	21.474882885580246	22.442001068181405	22.227305072440576	22.205078389141676	21.02418085583392	22.51968923271334	22.665126998075394
A6NFY7	21.828090846290706	21.94806084279898	21.84864895204172	21.93127962137117	20.779828415889533	21.772122903139504	21.91339684450848	21.7994543600029	21.913546012330418	21.917935986988205	21.79705456450149	21.855681417494207	21.915426244968625	22.426475089601027	21.805503340079557	21.946478945804646	21.951208217740824	21.95433105009495	22.64597382248993	21.802206797315765	22.036978138471216	21.983801853936658	21.945551100779408	22.008269592786018	21.925937259100444	21.956675205245784
A6NGB9	21.6449305524577	21.299263936050558	21.968213502551485	21.98605736487033	21.58577421451441	20.72156162818392	20.687712586766967	21.5904510564524	20.345917337943114	21.49121497183026	22.04738456165935	19.02464727467944	19.25726264778294	20.889004425601044	20.738399594310863	20.42845820021553	20.828238984020153	20.298271506005943	21.24054119188823	20.367809377439162	21.04390875908613	21.694798514994467	21.255950663789854	20.326782986300376	20.32883953583087	20.409278077776328
A6NIH7	22.50013166906242	22.18194892003156	22.273090665166983	21.879139204929444	22.24615236866077	22.1867243067829	21.795553031993563	22.42938453393946	21.413205813633155	21.956414196925348	21.926340295199317	22.01704903960845	20.636675288748446	21.403493503134484	21.76875874979125	21.324684842450356	21.645038714083604	21.405257403982308	23.0525558724137	21.37611156688813	20.94662987077973	21.367556285624598	22.10547011450207	21.2583815651623	21.2614988815695	21.286055278063508
B1AK53	21.849169505609268	22.714536426328994	23.588870964381464	20.41804307544612	23.391450771084273	22.031734418595008	21.118521451199836	22.94824623459496	20.023975700274555	23.096330720251917	21.58140209620702	22.217544224075567	19.39135108658437	22.631738615554525	21.054685275597045	20.470372200099117	21.672686785795385	20.554641120976342	22.371357237728482	20.840387638706947	20.34158529408289	20.465477846816132	21.305004443443877	20.41827073418416	20.48396524777559	20.410252977461838
Biognosys_pep-a	28.391766641684924	30.17665195561602	30.624580398696665	30.41805166763048	28.848359956305426	30.20304552868582	30.36723808852758	29.99823026941749	31.14925753530934	30.72951706306961	29.908991458129336	31.08340814642804	31.607235363704987	30.837036148194365	30.084319826452116	32.160262526813476	31.279720465751954	31.77951534966956	30.045019206510535	29.533978964603044	31.31937303797285	31.38298562654428	31.848431379845685	31.935992189252474	31.83147506330122	31.884889272385738
Biognosys_pep-b	26.75527658757902	28.04039930836329	28.734952480180155	28.9426068931238	27.987989412542092	28.99380136858432	29.48463669261529	29.11910893962257	30.006154161339722	29.192026233762608	28.625381870705056	29.044488595348497	29.477541638872413	29.158556228672566	27.91793660276116	29.380463349708048	29.51180137480384	30.21688290826209	27.846412802722327	27.724812774939913	28.99329813552149	28.896340468461627	29.16016586898914	29.56084549362358	29.16375334635815	29.50468579516189
Biognosys_pep-c	25.552867380745113	27.186821223826136	27.6787375228458	27.753411714506065	26.155469553058204	27.704407598285997	28.22952700644266	27.608014183772276	28.490858468570835	28.2807156337854	26.928008684299712	27.144473077877308	28.915563388429717	27.898131123295478	26.948127322497058	27.886048380546207	27.379779759907407	28.80318790595594	26.76512614181601	26.592284570326747	28.457432505044327	28.660056801496513	28.04890419877163	28.32075182340874	27.91825882944329	28.33149623383242
Biognosys_pep-d	26.11302336596711	27.856468805267294	27.836552209058276	27.919039254519753	26.274231948087603	27.67452381604142	28.747544643432775	27.592564985496093	28.879288412894326	28.380515293765608	27.162130398218267	27.92385201805014	28.31796130797434	28.574760652055566	27.553014124954373	29.254948012650626	28.150807850449645	29.54582808890934	27.5761675410054	27.15387436965799	28.66325887440789	28.264970139940697	28.435208828112962	28.894991142448887	28.77187989364576	28.46208905638465
Biognosys_pep-e	25.304022350746457	27.469776901048235	27.124300957243697	27.19456736050912	26.15634458335897	27.440071414749717	28.038899499418598	26.838085427642113	27.203299392599753	27.02130528289058	26.287151351488248	27.048388143809067	27.438832958891883	27.355193850581927	25.881708661471826	27.32521297564036	27.045567409437325	27.79453084403057	25.896879673072988	25.789099808834493	26.80310541213121	27.328006788919105	27.304439695497074	27.172081947497674	28.154095485662907	28.562961177498376
Biognosys_pep-f	25.27616853985075	27.416651024032902	27.785534721654898	27.4208483282031	26.04431658427091	27.389056048436984	28.30835185431844	27.398150143924447	27.731983161605747	26.897527134602246	26.13640047941511	27.327876108179712	27.46996440141939	27.559912887648252	27.478780982449358	27.508812913979746	26.544640901812212	28.03170159726973	26.478548044809063	26.199635226451186	27.44295757934759	27.666753469755164	27.203629708664625	27.79214845389526	28.157014988818865	27.511042203016576
Biognosys_pep-g	24.764384999317286	26.276693049260366	26.549823578318843	27.105340481826026	25.22737977954359	26.498160840525564	27.077073305257336	26.06185516499813	26.700065426215374	26.022253025116168	25.147983777526306	25.059961298682428	26.2572190123368	26.602517734660793	25.752760865765133	27.13682573170112	26.484996043047946	20.536032984336526	26.393510041244284	25.51757430025094	27.09218405689918	26.375907593499473	26.8083608883977	26.890106822144155	27.28269936542791	27.13745245216014
Biognosys_pep-k	24.945117878260092	25.310922893865797	25.415643643644316	26.75781558172912	24.074523309976264	26.252872757580697	26.895660715903645	26.882730394653706	27.308155344034347	27.106594134355632	26.307451529170983	24.632800428288377	27.06430965426809	27.211221398712503	25.878724646390857	27.17162971222256	25.224390479271865	27.817786730346015	26.153641460212125	24.867222784111608	25.144018456266732	27.754394747221507	28.110241141236735	27.9140210378468	27.562658304873423	28.60750641300182
Biognosys_pep-l	23.200968108721796	25.64034076675394	25.36346402270486	25.146193174095277	25.02796014461173	26.292249247141207	27.606187177043637	26.549751359536423	25.056675093538054	24.584460242292568	22.686140787682774	22.094088262825895	26.477047907753338	24.97828809383541	22.514874245195216	24.825454071088522	21.904666879858862	23.14292047793535	25.004158743108285	22.60443705232871	26.30704627829341	24.581509951582998	24.832113024296696	25.383731210853867	23.246420227142686	26.824134117741767
C4AMC7	21.479555109374097	21.48427027862182	21.484491504829567	21.52242972641504	21.51596643426576	21.557357528133615	21.418730765537653	21.52501938062683	21.480817406339444	21.54139883720778	21.50173417948112	21.48340706055123	21.402130082748965	21.975363330957435	21.4775857602648	21.442657958546228	21.535577536921345	21.474996106053013	21.51897685413266	21.416141111325864	21.372160363246227	21.350601598241706	20.89742508073123	21.437699876330395	21.41355145711408	21.36720228103039
C9JLW8	23.16280156642499	22.51991063963461	23.760215487284285	21.689125224944338	22.10793950776753	22.5955648711452	21.525007793243844	23.013739270459876	21.41999084668744	21.655616802474803	22.2592535251016	21.611347655132715	21.430462101017113	21.06695176661688	20.048832265710203	21.46086746653949	21.54325019323204	21.468483178769702	21.84687439128518	21.516931751375626	21.54998180448536	21.413128883216675	21.387618287203075	21.353536957705902	21.466802457279318	21.499622344174227
E9PAV3	23.2719885372546	23.108941600416046	23.811211617909194	22.524187790628375	23.47406321458888	23.05787285406638	22.61753904508319	22.924316422238824	20.842777654418235	22.800984699047493	23.39604843641881	22.942870933890426	21.84966340071938	22.43589202658439	21.71524926917978	20.85436066478902	21.504107215442293	21.40599747967841	23.0287652981384	21.935662427693586	22.011316619081224	21.554328176672712	22.86691517646794	21.334859081686183	20.402090683932734	21.91733970733907
F6UB75	19.582716856927703	20.476973359346232	20.501366744623855	20.34465659772966	20.600971058130124	20.678140045381898	20.837891640393067	19.326285688137894	21.36195163429474	21.830576392474903	20.629528468577334	24.2408119913397	19.776134282652816	19.64291196519762	20.671797907478805	19.70034070234451	19.64854767936638	20.598329052758686	20.320738200478964	22.212176489268593	20.34968649132667	20.247579113921784	20.350837912184424	20.576608244802877	20.658733719293256	20.84479628678615
H3BM21	22.07834683526318	22.043706380501153	22.14057348655405	22.060769306086616	22.064627652696235	22.026983694040638	21.88773687830318	22.13283423163151	21.52696766225052	21.9802846473693	22.55960213964528	21.959484126426425	21.966757872532334	21.343896640241496	21.94124868070326	21.913903986678847	22.58646040436455	21.924378162847766	21.931020799014036	21.93551025556329	21.973104845908644	22.054860761384166	22.057327099983375	21.891299835658643	21.89076267036426	21.881998453163213
K4DIB9	21.897242221001584	24.161176739653317	21.392067553977732	19.97098875160879	22.009051793989325	20.527610546784402	20.233541468964788	20.984967981779377	19.53818918939553	22.808122393936184	21.947714938071787	22.89251666500871	22.23800931352384	20.75075389877776	20.427907429091846	20.704992121445777	20.749419938850025	20.417619723801163	23.307733358444892	19.40452630370558	21.324866795186587	22.04179789801361	22.256584253617618	21.016629914219628	21.03621377308608	21.161343679580295
O00151	22.577509718661496	23.32117713883566	22.814033685814678	21.484970971455706	22.64060716935332	22.03285302549731	21.483925517702048	22.13559845630901	21.05698255687387	22.39936867989709	21.73865406138608	21.558099088445783	21.75951482380032	22.232604647939375	21.4574467148124	21.199971235235658	21.463528209373433	20.608458840261868	22.333687736759206	21.153296264590786	21.665797326925578	22.340394936262932	23.690069466060315	22.25484539737849	21.23344197445477	22.23517846962261
O00159	21.127981143134086	19.43511285962785	21.01525685466754	19.710808792434054	20.43065173715375	20.39194331390913	17.96844261854462	19.603944107674977	19.822907905420983	19.195980577819682	19.976194231818813	19.437788472373665	18.618726914205517	20.335164041278645	18.274243135593764	19.797985517967938	19.181197198561705	19.656612859127968	18.861830903439657	20.36606716199786	19.86405295508817	19.72621259067299	19.102171853269304	19.922090547614662	21.024147171039722	21.396599230275882
O00161	18.831278922491663	19.564318704071294	20.918402352285497	19.87808030059874	19.06765241725469	19.767082518413858	20.492839651039134	20.316621149959868	20.26005516869101	20.10677113764377	20.99311127881419	20.302403227371894	18.339082588708656	19.203680163682122	18.47768056196682	18.651823619802045	19.247699632792322	22.585551575102652	19.93852156756081	19.15691791076669	19.622828291435017	19.24264969281077	19.70024286176779	19.777374033178	23.119386368356814	19.00045563948677
O00193	20.68442914993887	21.891601516153923	22.24591561440613	21.822133170674107	21.544600340913423	21.699977512125706	21.770471868535097	21.690989393063568	19.486860290500474	21.264777674245074	21.351083678369044	21.130371576487565	20.586631796277338	20.459982982388524	20.931083943869112	18.833691187477758	20.823053773464892	19.339853555490073	20.95329688148877	19.70491475906286	19.923536818167552	20.640057931177754	20.941819033725274	18.967068999357437	17.464712597002084	19.359413283651193
O00233	24.50584377086951	24.44401975699823	24.518743073593384	23.83153550631297	23.80994611649739	23.798690425083606	22.93253934461883	24.820197022586477	23.463887632856327	23.927776590212492	23.94221651363842	24.034945567786483	23.452986721360283	24.57421930173456	23.272983817620663	22.714603331148663	24.229206853962662	23.30613795699956	23.57294078896483	24.212872904037653	24.01280941509365	24.080113388608805	24.609469625959825	22.867480522121838	22.41643739066636	23.60407411620421
O00244	24.676600708249644	24.682669537216697	25.533166612358556	22.35708266613315	19.835787496354804	23.809206480648008	24.40499423133047	24.65769444106143	22.32913859461903	24.540399972403943	24.47566872183721	21.015473624967978	20.378958031630646	24.21572143541251	22.13747674813287	18.832364573965314	21.510714136048787	21.00549214552387	21.283036833435574	20.205756741818313	20.83218694839778	19.928891962214326	22.40667052718804	20.60709627199203	20.898242081729304	20.921683758578897
O00264	23.305980027256595	23.004042939208105	22.718204270434562	23.382355142033653	23.523350716494903	23.062716646997636	22.121709850946807	22.654528568332506	22.385182749493957	22.801305065715045	23.257041556479777	22.423286662796603	19.424822735646448	22.668648046783048	23.001084515693663	21.503302226131915	23.161912198524348	20.583077520229228	22.179653325444555	21.374050966005406	20.088698066680344	23.47949457653501	23.071525562797	20.154886141064395	20.41405865106698	21.12087966979941
O00273	22.02636784116872	21.728921084532796	22.131465481447627	21.32240012775013	21.175579569983917	21.747396089792254	21.249673370227192	21.967836747059142	20.816863801131277	21.239801562838714	21.17406797301362	20.820016226752035	20.92772058468142	20.99402250285248	21.091769075696973	20.250315478671865	21.95367137898966	20.232600918346648	19.101514680822905	18.649047961628614	19.70877148738053	20.676443001903834	20.997753717163675	20.13060578904725	20.03395946915284	18.83222226509312
O00299	22.145795996576382	21.63139891158274	20.718731928915354	21.55900442039728	21.528560797695263	21.702670668590272	22.65274362174575	21.5148453218427	22.651427855717813	21.186676858450873	21.523124061548323	22.166693444489418	22.67893954302821	21.674975917337107	22.401037555465088	23.07236687554426	22.231352069016676	23.461919756084868	21.596782817222714	22.480251328243103	22.401644403422615	22.288440624140335	20.947627114391757	20.56348705395488	22.258131453694148	22.551060453013175
O00330	23.49062523201755	22.185743752927984	21.52505575136977	22.124861147684825	22.556511802186773	21.47120571868593	21.911230221355364	22.205916249245092	21.83685499029296	20.410901547464416	22.136487275711403	21.90302115199466	21.51157922329057	21.921365896569085	21.967336181179636	21.749015420487268	23.299443760102662	21.89637067048524	21.875280105489672	21.43044429901612	22.330946281665938	21.583825232035487	23.204037936771115	21.934043369102245	21.897556444522912	22.029976931979927
